N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"0.7057881186119959,2.129301946693614","-2.0263811900323385,-0.08106528413905045",#,#,"-2.6121752719572244,1.7383862691356222",#,"-2.688300572407724,2.746315092409025","-3.4081294620473215,4.132161658320153",#,#,1,0.011672663068248162,0.28082864626643833,1.9562443499704267,1.0,1,129.41606659751204,4951,1564,0.5,7.800272363832705e-06,125,489
#,"-2.749978066522945,0.6867593060121407","-4.111208720399128,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,"-0.7268691732211167,1.8465555192657988","-0.63670489214139,3.083994118515716","-3.5599827520805927,2.8075559316179857",#,"-1.2520250524229484,1.6151957175357246",1,0.00014198957837476754,961.1604949649673,111.73703527697258,5.74135339827575e-07,1,151.50922821360354,4959,1564,0.7,0.0004441565306057107,809,1302
"-0.6277190756773812,0.26563603720624884","-1.8301833124631424,0.6867593060121407","-3.385416624081514,2.673593986351743",#,#,#,"-3.14379163245686,3.114795338961407","-4.599870145348845,3.601269008388594",#,#,0,0.00018394637435695742,548.8145867437847,436.9714269520049,6.276749556070509e-10,1,94.25538571361497,4935,1572,0.5,0.00032209017874437973,260,481
#,#,#,"-3.3143499019047233,2.166952753154164",#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,5.2995171791339765e-06,681.8147097396006,357.0826209252362,1.7224888971166756e-09,1,137.05051943463803,4998,1581,0.2,0.004573550766490523,1638,3281
"-2.224500813380764,0.7965285672625948",#,#,#,#,#,"-2.688300572407724,2.8091069024867004",#,"-2.6891514116357977,1.2960367865271802",#,1,1.012612668389211e-05,706.0052264651379,335.76421011951925,2.3433005307956336e-09,1,138.10732484475443,4998,1581,0.3,0.0024793763634781874,1383,2301
"-0.7697895102747482,0.5462583900132446","0.3440792306523788,4.164287723084228",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,"-2.1407542838823854,1.7344319364713225",#,#,0,0.05381302534835978,966.4399330365866,80.58795132329901,2.942045756075337e-06,6,105.01831947665977,4982,1584,0.5,3.797850684139204e-05,227,344
#,"0.11592188891091926,5.6566268416007475","-3.385416624081514,2.673593986351743",#,#,#,#,"-2.7398112735860334,0.0770303414902962",#,#,0,0.00039440947458572984,816.7666826391079,281.09404401010175,5.6982537100862746e-09,1,103.02068814567149,4982,1584,0.3,0.0002147728406052909,428,682
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407","-4.111208720399128,2.2040950297793107","-3.3143499019047233,2.8757458811901504","-0.327233865249291,2.4336994204442464",#,#,#,"-3.4655671893539464,4.3406422497282104","-3.70663807051699,2.715936454190438",1,0.0005328760706206305,994.8798423794906,23.251912432363742,0.0014713181974546534,1,150.0292378880776,4985,1589,0.7,0.00011639060331119133,787,1160
"-0.4182848791570907,0.7965285672625948",#,"-0.26943359500623276,1.9528862770294617",#,#,#,#,#,"-2.6891514116357977,1.2960367865271802",#,1,0.13168109651605325,5.928554968950593e-07,1.1195087966368358e-05,1.0,5,131.2055205352927,4998,1597,0.3,4.046073552732746e-05,93,334
#,"0.11592188891091926,5.6566268416007475","-3.385416624081514,2.673593986351743",#,#,#,#,#,#,#,0,0.006918986132089761,909.6351732057044,165.4390227833027,8.068823568558112e-08,1,109.9140322977837,4999,1600,0.2,6.352306492024304e-06,804,1269
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.366462031855363",#,"-0.4052416847636229,4.352643832706456","0.5165371109260288,2.7754825264934686",#,#,#,"-3.8250924556854105,3.7642778323111323",#,1,0.0007624716868982503,744.1700075639512,325.26431475269874,2.7467422391062326e-09,1,140.31641136584835,4822,1607,0.5,0.0001299645819147393,152,279
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,"-3.9270739698399044,2.3315130015783625",#,#,#,0,0.0042948962805902545,102.40002114203006,143.3603132680747,1.6514114572692818e-07,1,178.38955534860602,4976,1610,0.6,1.0772981151282154e-05,324,1277
#,"-2.749978066522945,0.6867593060121407","-4.111208720399128,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,"-0.7268691732211167,1.8465555192657988",#,"-3.5599827520805927,2.8075559316179857",#,"-1.2520250524229484,1.6151957175357246",1,4.020328416260249e-05,987.9751754227864,46.47405572314068,4.6126141623495895e-05,1,152.26686237225027,4985,1617,0.6,0.0017799115007396849,1073,1733
"-1.3452845581345745,0.09720638902325746","0.10844258087863246,0.7389942519738115",#,#,"-1.1466811285651661,2.032575382233453",#,#,#,#,#,1,0.0009440028354925745,947.0705376755058,137.04493556157038,2.0686406043880343e-07,1,153.85113079149582,4889,1634,0.3,0.0001066576539506639,214,321
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,#,#,#,"-3.2790434944687505,4.1757305074238",0,0.0042948962805902545,102.40002114203006,143.3603132680747,1.6514114572692818e-07,1,178.38955534860602,4976,1658,0.6,1.0772981151282154e-05,319,1260
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,3.507561037036661","-2.8650391915335525,4.352643832706456",#,"-2.173861242538027,4.259700488679263","-3.1982972437622417,1.1996287361532982",#,"-3.8250924556854105,3.7642778323111323",#,1,0.016959850931719513,999.9973688150219,0.029764941411824463,1.0,1,162.43793998838757,4985,1669,0.6,9.530398472715634e-06,951,1264
"0.7258853651651965,2.0174925989979497",#,"-3.039725554132545,-0.2918360876531392",#,#,#,#,"-3.348122950635161,1.635519906807576",#,"-0.3917149222551941,3.16363883249356",0,0.0798489768658188,1000.0,0.0,1.0,3,142.84298066931984,4986,1678,0.4,2.582865135163531e-05,161,216
"0.8364239705343662,1.9069539936287798","-1.0417995909752158,2.569082408720642","-2.590787679414203,1.8647045082910567",#,#,#,#,#,#,#,1,0.001969166259121198,2.5039134154993543,12.375311125711093,0.03445239110062839,9,122.33948378305719,4988,1678,0.3,0.004137819392036794,93,442
"0.7057881186119959,2.129301946693614","-3.875473980142656,0.7959421676317979",#,#,"-3.000708050752213,-0.8254272802057896",#,#,"-3.5599827520805927,4.132161658320153",#,#,1,0.0005132058043855217,131.45701915930476,265.39997787476375,7.594437081075554e-09,1,128.8975049915448,4885,1686,0.4,0.00020651671354237646,31,154
#,"0.12580614592918837,2.847050551497081",#,"-2.8650391915335525,3.8731192824077887","-0.8897841606009262,2.958789510365823","-2.117117414167619,4.316444317049671",#,#,#,"-3.2992259335201406,3.811481575977368",0,0.002192638473836446,984.7305890086194,59.707053600903954,1.3178676529864405e-05,1,112.98254509439637,4999,1690,0.5,6.583491423257805e-06,567,950
"-0.7697895102747482,0.5462583900132446","0.12580614592918837,3.3081509031347935","-3.438409043855395,2.673593986351743",#,#,#,"-3.14379163245686,3.114795338961407","-2.3395369131057877,2.319085757981988",#,#,0,0.0006923826868136117,830.1657559212061,259.9376646026374,8.42663021804956e-09,1,99.84929614837503,4982,1690,0.5,0.00011857716475229846,417,665
"0.8364239705343662,2.0421701577189117",#,#,"-1.2032991261487107,1.1388992782655658",#,#,#,#,#,"-0.5605416796896372,3.682945059849199",0,0.08727275764980255,999.9999728278565,0.00042454519766333147,1.0,1,123.68135605679488,4999,1711,0.3,7.389550918708734e-06,280,366
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-2.6546839247206613,2.032575382233453",#,#,#,#,#,0,0.004375877247486325,102.40001347997334,143.36020489559473,1.651417699162761e-07,1,176.22062208487276,4976,1721,0.5,1.0609571473480011e-05,312,1279
"0.8364239705343662,2.129301946693614","-3.875473980142656,2.569082408720642",#,#,#,#,#,#,#,#,1,0.02814507294024224,0.07492935718361118,0.6344374917821337,1.0,2,123.91665425196922,4988,1733,0.2,1.4937614455341979e-05,187,842
"0.7057881186119959,1.9069539936287798","-1.0417995909752158,0.7959421676317979","-2.590787679414203,1.8647045082910567","-1.6575072263641133,3.1105395254792363",#,#,#,#,#,#,1,0.0006236482248209879,12.3989727241044,46.07745368753438,4.8145715321062875e-05,1,131.5831812705147,4885,1733,0.4,0.00017348540543694785,51,250
"-1.1116274524501306,0.5462583900132446","-1.8301833124631424,1.3991159021723665","-3.438409043855395,2.673593986351743","-2.066026671642698,4.352643832706456","-0.43729951628724595,1.6543166092381612",#,"-3.14379163245686,3.114795338961407",#,#,#,0,3.948362627041789e-05,452.0563518025325,381.7191678414201,1.2339005507939373e-09,1,139.66700421648446,4976,1736,0.6,0.0017503686593431898,439,1296
"-1.1116274524501306,0.5462583900132446","-1.8301833124631424,1.3991159021723665","-3.438409043855395,2.673593986351743","-2.066026671642698,4.352643832706456","-1.4090439098314578,3.025182276282406",#,"-3.14379163245686,3.114795338961407",#,#,#,0,0.0005057798938628189,469.44945501426764,389.71168651775616,1.1124560258558055e-09,1,133.94968964475999,4976,1756,0.6,0.0001273471900801493,658,1866
"-1.0501174214842235,0.7965285672625948",#,"-0.26943359500623276,1.9528862770294617","-2.935693770748367,2.166952753154164",#,#,#,"-0.5443302815317121,1.0481723639327476","-2.6891514116357977,5.480761452428588",#,1,9.01664800694298e-05,965.5275571812188,99.69439523347509,1.0154213348364602e-06,1,159.74705268796959,4985,1774,0.5,0.0008932369978250184,642,1032
"-0.4182848791570907,0.7965285672625948",#,#,#,#,"-2.794109594829651,0.6371233284862368",#,#,"-0.9455973178566042,3.17434655277009",#,1,0.001629159486516642,207.28676314741048,185.4347984294667,4.5608292923991e-08,1,109.7740891699001,4970,1774,0.3,6.3568312389524105e-06,94,388
#,"0.11592188891091926,3.3081509031347935","-3.385416624081514,2.673593986351743",#,"-2.6571428822818106,1.6543166092381612",#,"-3.2551208657837747,-0.9715823762122446","-2.1407542838823854,3.601269008388594",#,#,0,0.0005548303226579994,380.916414121597,376.21205316409936,1.3268947406660423e-09,1,120.57149838619672,4860,1782,0.5,0.0001786844351894486,120,186
"-0.7697895102747482,0.5462583900132446",#,"-3.385416624081514,0.5994328016376627","-2.066026671642698,3.8731192824077887","-0.43729951628724595,0.27111969345375964",#,"-5.115781857286502,0.889078615290483","-4.599870145348845,3.601269008388594",#,#,0,0.0001472545057307083,812.1582167684801,302.8124136094137,3.927639561556359e-09,1,109.76483528349678,4982,1782,0.6,0.0006129102601149895,94,192
"-1.587830516696796,0.7965285672625948",#,#,#,"-0.0026132911356775423,1.2064593051190904","0.4561555762480214,1.6970309627683529","-2.688300572407724,2.8091069024867004",#,"-2.892314844190147,2.637083508493048",#,1,0.0021791655352714854,583.3185210951948,369.11887206777146,1.4593812076245027e-09,1,137.39250219183214,4998,1784,0.5,8.117290448510944e-06,140,229
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,#,"-0.6524785127008528,0.5634358546484348","-3.70663807051699,2.715936454190438",1,0.00033655987250132694,204.54513800223882,177.4293702330068,5.686858792815311e-08,1,130.0083708877129,4969,1789,0.3,0.0002555720301138275,57,252
"0.7258853651651965,2.790691247420027","-2.139148345923748,0.6867593060121407",#,#,#,#,#,#,"-2.804617472284662,1.6405851249704564",#,0,0.003654573305879286,971.4882855592812,84.05497190493512,2.3833233250437784e-06,3,119.54258570869963,4952,1793,0.3,0.0002420642928560871,469,611
#,#,"-3.039725554132545,-0.2918360876531392",#,#,"-1.5496440072422861,2.9967396161512654",#,"-4.630702241638373,1.635519906807576","-1.8934833439832341,2.7685584043574987",#,0,0.0001394545920971678,622.5353258379221,421.51338131017405,7.515245441042855e-10,1,123.4960513930225,4986,1793,0.4,0.0007281527699922124,486,1017
#,"-0.16747415192637072,2.3444437609055298","-2.8702643947255506,1.9528862770294617",#,#,#,#,#,"-2.276494193646047,1.1929322237238007","-3.70663807051699,2.715936454190438",1,0.00014576294607375427,518.2794357754235,428.2400427525142,6.943263245742595e-10,1,131.36269424304868,4998,1794,0.4,0.00032609165855364237,527,1227
"-1.0501174214842235,0.7965285672625948",#,"-0.26943359500623276,1.9528862770294617","-2.935693770748367,2.166952753154164",#,#,#,"-0.5443302815317121,1.0481723639327476","-2.6891514116357977,4.3406422497282104","-4.189001671061409,4.41266063881461",1,9.01664800694298e-05,965.5275571812188,99.69439523347509,1.0154213348364602e-06,1,159.74705268796959,4985,1809,0.6,0.0008932369978250184,636,1022
"-1.3452845581345745,0.09720638902325746","0.10844258087863246,0.7389942519738115",#,#,#,#,#,#,#,#,1,0.0022973462817978043,957.6570633908956,118.09837443550161,4.3529171473087455e-07,3,152.23769478765956,4889,1828,0.2,0.0003892435615529299,209,323
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298","-0.26943359500623276,1.9528862770294617","-1.5627751526664193,3.4562214282213155",#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,0.026691933330978242,0.0,0.0,1.0,1,131.99844988067593,4998,1836,0.5,8.136715035554202e-06,62,219
"-1.5805761328706307,0.7965285672625948",#,#,"-2.935693770748367,2.772558905028711","-0.327233865249291,1.2064593051190904","0.4561555762480214,1.6970309627683529",#,"-2.717787236416353,1.0481723639327476","-3.4655671893539464,4.3406422497282104","-3.70663807051699,2.715936454190438",1,0.022459105911129214,822.7629770980682,205.1171887718104,2.7541635204602114e-08,1,145.00325810279395,4944,1861,0.7,8.363100398185589e-06,193,289
"-1.587830516696796,0.2842151128984388","-2.139148345923748,0.22387860687957295",#,#,"-0.0026132911356775423,2.4336994204442464",#,"-2.688300572407724,2.731702792454996",#,#,#,1,0.009203936989972029,978.5223057799564,60.16081942050996,1.268911359685504e-05,1,140.55557137553657,4985,1861,0.4,8.810717018534262e-06,434,642
"0.8364239705343662,2.790691247420027",#,#,#,"0.3491978499794215,2.8591372006099096",#,#,#,#,"-0.05904769990609915,3.037550731649268",0,0.014738457643004063,934.4639999999015,117.96480000254148,4.377617595471146e-07,1,138.64123273342318,4999,1877,0.3,8.516643516975167e-06,144,193
"0.7457644104934167,3.2366494653196742",#,#,#,#,#,#,"-3.029748816945262,2.603934413207397","-3.0551562106893164,0.32544716857675837","-2.1265418168460783,3.9519662154663084",1,0.004696780045146608,1.369468584748074,8.1291446111192,1.0,1,130.37788364571355,4894,1882,0.4,7.858243797653842e-06,123,500
"-1.3452845581345745,-0.6277190756773812",#,#,"-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197",#,#,#,#,0,0.017707218500257624,0.07187274453228165,0.5861329297867017,1.0,1,180.3964986499471,4976,1899,0.3,1.0924186337593338e-05,293,1179
"-0.7697895102747482,0.31713582709348553","0.11592188891091926,5.6566268416007475","-1.3282086510378885,0.5994328016376627","-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,"-2.721380801010464,3.537206170407803","-2.1407542838823854,1.7344319364713225",#,#,0,0.0916843233051646,871.7515488490005,155.19450496025965,1.1107550599315929e-07,1,103.94581154321753,4982,1909,0.7,6.265108053688209e-06,108,170
"-0.7697895102747482,0.5462583900132446","0.11592188891091926,5.6566268416007475",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,"-2.721380801010464,3.537206170407803","-2.1407542838823854,1.7344319364713225",#,"-5.661774945572942,-0.9595328828407177",0,0.00016799615584051148,991.8123910323185,33.93375737001101,0.00022224922164826899,2,126.853336638031,4837,1915,0.7,0.002483503612190238,40,69
"0.31713582709348553,0.3722711963870261",#,"-1.3282086510378885,0.5994328016376627",#,"-2.6571428822818106,0.27111969345375964",#,#,#,"-1.6136062080125688,3.2652746914137802",#,0,0.04378985377603774,1000.0,0.0,1.0,1,63.0,1915,1915,0.4,3.7971881841362323e-06,1,2
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407",#,#,"-0.8559044707711865,2.4336994204442464",#,#,#,"-3.4655671893539464,4.3406422497282104","-3.70663807051699,2.715936454190438",0,0.0008720619849414103,471.1658397461506,392.00850544772317,1.0802457086761948e-09,2,134.34201470903758,4976,1924,0.5,0.0002969157655205032,436,1387
"-1.3452845581345745,-0.10070702283417032","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,#,#,#,#,0,0.0005568232337731002,340.39966980215064,357.3976786897134,1.7149101187689958e-09,1,150.0218724542537,4976,1930,0.5,0.00014693193174446418,415,1390
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,#,#,#,#,1,0.08646997220862765,999.3914266155446,3.6699831308906354,1.0,8,165.19676743600562,4985,1930,0.5,7.884134923662733e-05,858,1148
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,2.1638612728379445","-1.3282086510378885,2.673593986351743","-3.3143499019047233,4.352643832706456",#,#,#,#,#,"-3.70663807051699,2.2859434220066137",1,0.013012710558949524,999.6891679440871,2.0581080052126017,1.0,1,162.42208966191544,4985,1938,0.5,9.528532566453397e-06,928,1238
#,#,#,#,"0.3491978499794215,2.8591372006099096","-1.668031071890809,2.4494484360882565",#,#,"-3.4655671893539464,4.3406422497282104",#,1,0.00018627895503765492,721.2752651168774,327.02673361007777,2.6735217221202214e-09,1,129.48382507700754,4998,1940,0.3,0.0002301514401723054,480,1000
"0.8364239705343662,2.0174925989979497","-1.6563472195939044,2.1638612728379445",#,"-3.3143499019047233,2.8757458811901504",#,#,#,#,"-5.646474167307332,2.3765744228604415","-3.70663807051699,2.2859434220066137",1,0.017321911271092724,0.05477749656333587,0.4554557527781674,1.0,1,126.06284433213162,4988,1940,0.5,7.598164173913895e-06,145,661
